,,m,m,m ,,,Mg m-3,Mg m-3,Mg m-3,,%LOI,%C,%N,%C,g cm-3,Mg C ha-1,g C cm-3,Y/N,,,Notes,Notes (2) ,,,,,,,,,,,,,
Site name,Site #,U_depth,L_depth,mid_point,,,BD_reported,BD_estimated,BD_new est,BD_final,SOM,OC,TN,OC_final,CD_reported,OC_stock_reported,CD_calc,TC instead of TOC?,Year_sampled,Age,,,,,,,,,,,,,,,
MCU NicoyaIsla Chira 1,M0771,0.15,0.3,0.225,,,0.43,0.59,0.60,0.43,,6.81,0.29,6.81,,,0.029,Y,,,,,,,,,,,,,,,,,
MCU NicoyaIsla Chira 1,M0771,0.3,0.5,0.400,,,0.46,0.61,0.63,0.46,,6.23,0.26,6.23,,,0.029,Y,,,,,,,,,,,,,,,,,
MCU NicoyaIsla Chira 1,M0771,0.5,1,0.750,,,0.46,0.62,0.64,0.46,,5.94,0.24,5.94,,,0.027,Y,,,,,,,,,,,,,,,,,
MCU NicoyaIsla Chira 1,M0771,1,2,1.500,,,0.55,0.67,0.68,0.55,,5.06,0.20,5.06,,,0.028,Y,,,,,,,,,,,,,,,,,
MCU NicoyaIsla Chira 2,M0772,0,0.15,0.075,,,0.57,0.78,0.77,0.57,,3.45,0.23,3.45,,,0.020,Y,,,,,,,,,,,,,,,,,
MCU NicoyaIsla Chira 2,M0772,0.15,0.3,0.225,,,0.51,0.70,0.71,0.51,,4.50,0.24,4.50,,,0.023,Y,,,,,,,,,,,,,,,,,
MCU NicoyaIsla Chira 2,M0772,0.3,0.5,0.400,,,0.57,0.75,0.75,0.57,,3.79,0.22,3.79,,,0.022,Y,,,,,,,,,,,,,,,,,
MCU NicoyaIsla Chira 2,M0772,0.5,1,0.750,,,0.61,0.77,0.77,0.61,,3.50,0.20,3.50,,,0.021,Y,,,,,,,,,,,,,,,,,
MCU NicoyaIsla Chira 2,M0772,1,2,1.500,,,0.55,0.75,0.75,0.55,,3.85,0.21,3.85,,,0.021,Y,,,,,,,,,,,,,,,,,
MCU NicoyaThiel 1,M0773,0,0.15,0.075,,,0.60,0.46,0.48,0.60,,10.44,0.42,10.44,,,0.063,Y,,,,,,,,,,,,,,,,,
MCU NicoyaThiel 1,M0773,0.15,0.3,0.225,,,0.57,0.50,0.51,0.57,,9.33,0.36,9.33,,,0.053,Y,,,,,,,,,,,,,,,,,
MCU NicoyaThiel 1,M0773,0.3,0.5,0.400,,,0.55,0.57,0.59,0.55,,7.17,0.27,7.17,,,0.039,Y,,,,,,,,,,,,,,,,,
MCU NicoyaThiel 1,M0773,0.5,1,0.750,,,0.55,0.58,0.60,0.55,,6.93,0.27,6.93,,,0.038,Y,,,,,,,,,,,,,,,,,
MCU NicoyaThiel 1,M0773,1,2,1.500,,,0.60,0.62,0.64,0.60,,6.02,0.23,6.02,,,0.036,Y,,,,,,,,,,,,,,,,,
MCU NicoyaThiel 2,M0774,0,0.15,0.075,,,0.57,0.66,0.67,0.57,,5.25,0.28,5.25,,,0.030,Y,,,,,,,,,,,,,,,,,
MCU NicoyaThiel 2,M0774,0.15,0.3,0.225,,,0.55,0.65,0.66,0.55,,5.44,0.26,5.44,,,0.030,Y,,,,,,,,,,,,,,,,,
MCU NicoyaThiel 2,M0774,0.3,0.5,0.400,,,0.58,0.68,0.69,0.58,,4.87,0.21,4.87,,,0.028,Y,,,,,,,,,,,,,,,,,
MCU NicoyaThiel 2,M0774,0.5,1,0.750,,,0.59,0.67,0.68,0.59,,5.05,0.22,5.05,,,0.030,Y,,,,,,,,,,,,,,,,,
MCU NicoyaThiel 2,M0774,1,2,1.500,,,0.64,0.73,0.74,0.64,,4.01,0.20,4.01,,,0.026,Y,,,,,,,,,,,,,,,,,
MCU NicoyaJicaral,M0775,0,0.15,0.075,,,0.47,0.55,0.57,0.47,,7.76,0.33,7.76,,,0.036,Y,,,,,,,,,,,,,,,,,
MCU NicoyaJicaral,M0775,0.15,0.3,0.225,,,0.43,0.47,0.48,0.43,,10.31,0.37,10.31,,,0.044,Y,,,,,,,,,,,,,,,,,
MCU NicoyaJicaral,M0775,0.3,0.5,0.400,,,0.40,0.46,0.47,0.40,,10.48,0.29,10.48,,,0.042,Y,,,,,,,,,,,,,,,,,
MCU NicoyaJicaral,M0775,0.5,1,0.750,,,0.42,0.46,0.47,0.42,,10.48,0.25,10.48,,,0.044,Y,,,,,,,,,,,,,,,,,
MCU NicoyaJicaral,M0775,1,2,1.500,,,0.32,0.39,0.39,0.32,,13.47,0.29,13.47,,,0.043,Y,,,,,,,,,,,,,,,,,
MCU NicoyaLepanto,M0776,0,0.15,0.075,,,0.28,0.27,0.27,0.28,,20.08,0.76,20.08,,,0.056,Y,,,,,,,,,,,,,,,,,
MCU NicoyaLepanto,M0776,0.15,0.3,0.225,,,0.31,0.34,0.34,0.31,,16.01,0.60,16.01,,,0.050,Y,,,,,,,,,,,,,,,,,
MCU NicoyaLepanto,M0776,0.3,0.5,0.400,,,0.37,0.42,0.42,0.37,,12.28,0.44,12.28,,,0.045,Y,,,,,,,,,,,,,,,,,
MCU NicoyaLepanto,M0776,0.5,1,0.750,,,0.46,0.43,0.44,0.46,,11.57,0.37,11.57,,,0.053,Y,,,,,,,,,,,,,,,,,
MCU NicoyaLepanto,M0776,1,2,1.500,,,0.49,0.54,0.55,0.49,,8.09,0.24,8.09,,,0.040,Y,,,,,,,,,,,,,,,,,
MCU NicoyaPaquera,M0777,0,0.15,0.075,,,0.76,0.61,0.63,0.76,,6.22,0.27,6.22,,,0.047,Y,,,,,,,,,,,,,,,,,
MCU NicoyaPaquera,M0777,0.15,0.3,0.225,,,0.65,0.62,0.64,0.65,,6.04,0.24,6.04,,,0.039,Y,,,,,,,,,,,,,,,,,
MCU NicoyaPaquera,M0777,0.3,0.5,0.400,,,0.64,0.61,0.63,0.64,,6.29,0.24,6.29,,,0.040,Y,,,,,,,,,,,,,,,,,
MCU NicoyaPaquera,M0777,0.5,1,0.750,,,0.66,0.63,0.64,0.66,,5.89,0.22,5.89,,,0.039,Y,,,,,,,,,,,,,,,,,
MCU NicoyaPaquera,M0777,1,2,1.500,,,0.60,0.59,0.61,0.60,,6.67,0.23,6.67,,,0.040,Y,,,,,,,,,,,,,,,,,
MCU Estero BatipaBatipa,M0778,0,0.15,0.075,,,0.46,0.64,0.65,0.46,,5.69,0.27,5.69,,,0.026,Y,,,,,,,,,,,,,,,,,
MCU Estero BatipaBatipa,M0778,0.15,0.3,0.225,,,0.48,0.67,0.68,0.48,,5.05,0.24,5.05,,,0.024,Y,,,,,,,,,,,,,,,,,
MCU Estero BatipaBatipa,M0778,0.3,0.5,0.400,,,0.47,0.66,0.68,0.47,,5.14,0.23,5.14,,,0.024,Y,,,,,,,,,,,,,,,,,
MCU Estero BatipaBatipa,M0778,0.5,1,0.750,,,0.47,0.67,0.68,0.47,,5.07,0.24,5.07,,,0.024,Y,,,,,,,,,,,,,,,,,
MCU Estero BatipaBatipa,M0778,1,2,1.500,,,0.49,0.66,0.67,0.49,,5.23,0.23,5.23,,,0.026,Y,,,,,,,,,,,,,,,,,
MCU Estero Buena VentanaLos Limones,M0779,0,0.15,0.075,,,0.32,0.47,0.48,0.32,,10.31,0.32,10.31,,,0.033,Y,,,,,,,,,,,,,,,,,
MCU Estero Buena VentanaLos Limones,M0779,0.15,0.3,0.225,,,0.32,0.49,0.51,0.32,,9.50,0.31,9.50,,,0.030,Y,,,,,,,,,,,,,,,,,
MCU Estero Buena VentanaLos Limones,M0779,0.3,0.5,0.400,,,0.34,0.56,0.58,0.34,,7.45,0.25,7.45,,,0.025,Y,,,,,,,,,,,,,,,,,
MCU Estero Buena VentanaLos Limones,M0779,0.5,1,0.750,,,0.41,0.55,0.56,0.41,,7.81,0.25,7.81,,,0.032,Y,,,,,,,,,,,,,,,,,
MCU Estero Buena VentanaLos Limones,M0779,1,2,1.500,,,0.44,0.59,0.61,0.44,,6.62,0.22,6.62,,,0.029,Y,,,,,,,,,,,,,,,,,
MCU Estero ChiriquíBoca Ternero,M0780,0,0.15,0.075,,,0.75,0.83,0.82,0.75,,2.86,0.22,2.86,,,0.021,Y,,,,,,,,,,,,,,,,,
MCU Estero ChiriquíBoca Ternero,M0780,0.15,0.3,0.225,,,1.02,1.04,1.04,1.02,,1.28,0.11,1.28,,,0.013,Y,,,,,,,,,,,,,,,,,
MCU Estero ChiriquíBoca Ternero,M0780,0.3,0.5,0.400,,,1.11,1.16,1.17,1.11,,0.83,0.08,0.83,,,0.009,Y,,,,,,,,,,,,,,,,,
MCU Estero ChiriquíBoca Ternero,M0780,0.5,1,0.750,,,1.11,1.17,1.18,1.11,,0.80,0.08,0.80,,,0.009,Y,,,,,,,,,,,,,,,,,
MCU Estero PedregalLa Yeguada,M0781,0,0.15,0.075,,,0.57,0.36,0.36,0.57,,14.88,0.66,14.88,,,0.085,Y,,,,,,,,,,,,,,,,,
MCU Estero PedregalLa Yeguada,M0781,0.15,0.3,0.225,,,0.22,0.18,0.19,0.22,,27.62,0.70,27.62,,,0.061,Y,,,,,,,,,,,,,,,,,
MCU Estero PedregalLa Yeguada,M0781,0.3,0.5,0.400,,,0.18,0.16,0.18,0.18,,29.57,0.60,29.57,,,0.053,Y,,,,,,,,,,,,,,,,,
MCU Estero PedregalLa Yeguada,M0781,0.5,1,0.750,,,0.17,0.20,0.21,0.17,,25.59,0.49,25.59,,,0.044,Y,,,,,,,,,,,,,,,,,
MCU Isla AlmejasCalle Larga,M0782, ,0.15,0.150,,,1.10,0.85,0.84,0.84,,2.63,0.21,2.63,,,0.022,Y,,,,,,,,,,,,,,,,,
MCU Isla AlmejasCalle Larga,M0782,0.15,0.3,0.225,,,1.10,0.89,0.88,1.10,,2.28,0.16,2.28,,,0.025,Y,,,,,,,,,,,,,,,,,
MCU Isla AlmejasCalle Larga,M0782,0.3,0.5,0.400,,,0.89,0.94,0.93,0.89,,1.86,0.14,1.86,,,0.017,Y,,,,,,,,,,,,,,,,,
MCU Isla MonoIsla Mono,M0783,0,0.15,0.075,,,0.48,0.58,0.60,0.48,,7.01,0.32,7.01,,,0.034,Y,,,,,,,,,,,,,,,,,
MCU Isla MonoIsla Mono,M0783,0.15,0.3,0.225,,,0.50,0.61,0.62,0.50,,6.34,0.29,6.34,,,0.032,Y,,,,,,,,,,,,,,,,,
MCU Isla MonoIsla Mono,M0783,0.3,0.5,0.400,,,0.49,0.63,0.65,0.49,,5.72,0.27,5.72,,,0.028,Y,,,,,,,,,,,,,,,,,
MCU Isla MonoIsla Mono,M0783,0.5,1,0.750,,,0.58,0.69,0.70,0.58,,4.64,0.21,4.64,,,0.027,Y,,,,,,,,,,,,,,,,,
MCU Isla MonoIsla Mono,M0783,1,2,1.500,,,0.61,0.71,0.72,0.61,,4.30,0.19,4.30,,,0.026,Y,,,,,,,,,,,,,,,,,
MCU Estero ResbalosoIsla Requena,M0784,0,0.15,0.075,,,0.59,0.62,0.64,0.59,,5.96,0.27,5.96,,,0.035,Y,,,,,,,,,,,,,,,,,
MCU Estero ResbalosoIsla Requena,M0784,0.15,0.3,0.225,,,0.51,0.61,0.63,0.51,,6.19,0.29,6.19,,,0.032,Y,,,,,,,,,,,,,,,,,
MCU Estero ResbalosoIsla Requena,M0784,0.3,0.5,0.400,,,0.52,0.59,0.61,0.52,,6.65,0.29,6.65,,,0.035,Y,,,,,,,,,,,,,,,,,
MCU Estero ResbalosoIsla Requena,M0784,0.5,1,0.750,,,0.49,0.61,0.63,0.49,,6.21,0.27,6.21,,,0.030,Y,,,,,,,,,,,,,,,,,
MCU Estero ResbalosoIsla Requena,M0784,1,2,1.500,,,0.63,0.66,0.67,0.63,,5.23,0.22,5.23,,,0.033,Y,,,,,,,,,,,,,,,,,
MCU Punta AlgarrobosPunta Algarrobos,M0785,0,0.15,0.075,,,0.51,0.58,0.60,0.51,,6.87,0.26,6.87,,,0.035,Y,,,,,,,,,,,,,,,,,
MCU Punta AlgarrobosPunta Algarrobos,M0785,0.15,0.3,0.225,,,0.47,0.49,0.51,0.47,,9.38,0.34,9.38,,,0.044,Y,,,,,,,,,,,,,,,,,
MCU Punta AlgarrobosPunta Algarrobos,M0785,0.3,0.5,0.400,,,0.42,0.51,0.53,0.42,,8.91,0.32,8.91,,,0.037,Y,,,,,,,,,,,,,,,,,
MCU Punta AlgarrobosPunta Algarrobos,M0785,0.5,1,0.750,,,0.53,0.54,0.56,0.53,,8.07,0.27,8.07,,,0.043,Y,,,,,,,,,,,,,,,,,
MCU Punta AlgarrobosPunta Algarrobos,M0785,1,2,1.500,,,0.76,0.75,0.75,0.76,,3.79,0.15,3.79,,,0.029,Y,,,,,,,,,,,,,,,,,
MCU Punta las MatitasPunta las Matitas,M0786,0,0.15,0.075,,,0.41,0.48,0.50,0.41,,9.78,0.38,9.78,,,0.040,Y,,,,,,,,,,,,,,,,,
MCU Punta las MatitasPunta las Matitas,M0786,0.15,0.3,0.225,,,0.38,0.45,0.46,0.38,,11.10,0.42,11.10,,,0.042,Y,,,,,,,,,,,,,,,,,
MCU Punta las MatitasPunta las Matitas,M0786,0.3,0.5,0.400,,,0.43,0.51,0.53,0.43,,8.72,0.36,8.72,,,0.037,Y,,,,,,,,,,,,,,,,,
MCU Punta las MatitasPunta las Matitas,M0786,0.5,1,0.750,,,0.55,0.63,0.65,0.55,,5.81,0.24,5.81,,,0.032,Y,,,,,,,,,,,,,,,,,
MCU Punta las MatitasPunta las Matitas,M0786,1,2,1.500,,,0.60,0.67,0.68,0.60,,5.08,0.21,5.08,,,0.030,Y,,,,,,,,,,,,,,,,,
MCU Punta OstionalBoca Río,M0787,0,0.15,0.075,,,0.41,0.51,0.52,0.41,,8.95,0.35,8.95,,,0.037,Y,,,,,,,,,,,,,,,,,
MCU Punta OstionalBoca Río,M0787,0.15,0.3,0.225,,,0.44,0.51,0.53,0.44,,8.76,0.36,8.76,,,0.039,Y,,,,,,,,,,,,,,,,,
MCU Punta OstionalBoca Río,M0787,0.3,0.5,0.400,,,0.43,0.50,0.51,0.43,,9.31,0.36,9.31,,,0.040,Y,,,,,,,,,,,,,,,,,
MCU Punta OstionalBoca Río,M0787,0.5,1,0.750,,,0.43,0.50,0.52,0.43,,9.15,0.34,9.15,,,0.039,Y,,,,,,,,,,,,,,,,,
MCU Punta OstionalBoca Río,M0787,1,2,1.500,,,0.58,0.57,0.59,0.58,,7.09,0.27,7.09,,,0.041,Y,,,,,,,,,,,,,,,,,
MCU S. CáscaraS. Cáscara (Represo),M0788,0,0.15,0.075,,,0.37,0.41,0.41,0.37,,12.75,0.46,12.75,,,0.047,Y,,,,,,,,,,,,,,,,,
MCU S. CáscaraS. Cáscara (Represo),M0788,0.15,0.3,0.225,,,0.36,0.39,0.39,0.36,,13.46,0.45,13.46,,,0.048,Y,,,,,,,,,,,,,,,,,
MCU S. CáscaraS. Cáscara (Represo),M0788,0.3,0.5,0.400,,,0.31,0.42,0.43,0.31,,11.92,0.43,11.92,,,0.037,Y,,,,,,,,,,,,,,,,,
MCU S. CáscaraS. Cáscara (Represo),M0788,0.5,1,0.750,,,0.40,0.49,0.51,0.40,,9.48,0.33,9.48,,,0.038,Y,,,,,,,,,,,,,,,,,
MCU S. CáscaraS. Cáscara (Represo),M0788,1,2,1.500,,,0.62,0.59,0.61,0.62,,6.72,0.23,6.72,,,0.042,Y,,,,,,,,,,,,,,,,,
MCU S. ParcelaS. Parcela (Río),M0789,0,0.15,0.075,,,0.40,0.46,0.47,0.40,,10.67,0.44,10.67,,,0.043,Y,,,,,,,,,,,,,,,,,
MCU S. ParcelaS. Parcela (Río),M0789,0.15,0.3,0.225,,,0.34,0.48,0.49,0.34,,10.01,0.44,10.01,,,0.034,Y,,,,,,,,,,,,,,,,,
MCU S. ParcelaS. Parcela (Río),M0789,0.3,0.5,0.400,,,0.36,0.44,0.46,0.36,,11.12,0.44,11.12,,,0.040,Y,,,,,,,,,,,,,,,,,
MCU S. ParcelaS. Parcela (Río),M0789,0.5,1,0.750,,,0.44,0.53,0.54,0.44,,8.40,0.37,8.40,,,0.037,Y,,,,,,,,,,,,,,,,,
MCU S. ParcelaS. Parcela (Río),M0789,1,2,1.500,,,0.51,0.55,0.57,0.51,,7.65,0.32,7.65,,,0.039,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco18,M0790,0,0.15,0.075,,,0.29,0.41,0.42,0.29,,12.34,0.49,12.34,,,0.036,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco18,M0790,0.15,0.3,0.225,,,0.30,0.42,0.42,0.30,,12.30,0.41,12.30,,,0.037,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco18,M0790,0.3,0.5,0.400,,,0.30,0.42,0.43,0.30,,12.23,0.39,12.23,,,0.037,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco18,M0790,0.5,1,0.750,,,0.34,0.43,0.44,0.34,,11.73,0.37,11.73,,,0.040,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco18,M0790,1,2,1.500,,,0.52,0.53,0.55,0.52,,8.23,0.23,8.23,,,0.043,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco19,M0791,0,0.15,0.075,,,0.31,0.47,0.49,0.31,,10.05,0.38,10.05,,,0.031,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco19,M0791,0.15,0.3,0.225,,,0.39,0.51,0.52,0.39,,9.01,0.30,9.01,,,0.035,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco19,M0791,0.3,0.5,0.400,,,0.41,0.50,0.52,0.41,,9.17,0.29,9.17,,,0.038,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco19,M0791,0.5,1,0.750,,,0.47,0.55,0.57,0.47,,7.58,0.25,7.58,,,0.036,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco19,M0791,1,2,1.500,,,0.55,0.65,0.67,0.55,,5.32,0.17,5.32,,,0.029,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco20,M0792,0,0.15,0.075,,,0.29,0.37,0.37,0.29,,14.58,0.47,14.58,,,0.042,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco20,M0792,0.15,0.3,0.225,,,0.26,0.35,0.36,0.26,,15.23,0.46,15.23,,,0.040,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco20,M0792,0.3,0.5,0.400,,,0.29,0.37,0.37,0.29,,14.48,0.43,14.48,,,0.042,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco20,M0792,0.5,1,0.750,,,0.24,0.39,0.40,0.24,,13.34,0.35,13.34,,,0.032,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco20,M0792,1,2,1.500,,,0.32,0.46,0.47,0.32,,10.69,0.29,10.69,,,0.034,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco21,M0793,0,0.15,0.075,,,0.47,0.66,0.67,0.47,,5.26,0.28,5.26,,,0.025,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco21,M0793,0.15,0.3,0.225,,,0.65,0.80,0.79,0.65,,3.20,0.18,3.20,,,0.021,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco21,M0793,0.3,0.5,0.400,,,0.66,0.84,0.83,0.66,,2.74,0.15,2.74,,,0.018,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco21,M0793,0.5,1,0.750,,,0.68,0.88,0.87,0.68,,2.33,0.13,2.33,,,0.016,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco21,M0793,1,2,1.500,,,0.98,1.15,1.16,0.98,,0.86,0.06,0.86,,,0.008,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco22,M0794,0,0.15,0.075,,,0.44,0.62,0.64,0.44,,6.03,0.30,6.03,,,0.027,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco22,M0794,0.15,0.3,0.225,,,0.54,0.71,0.71,0.54,,4.41,0.20,4.41,,,0.024,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco22,M0794,0.3,0.5,0.400,,,0.64,0.73,0.74,0.64,,4.00,0.19,4.00,,,0.026,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco22,M0794,0.5,1,0.750,,,0.75,0.79,0.79,0.75,,3.27,0.15,3.27,,,0.025,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco22,M0794,1,2,1.500,,,1.03,1.25,1.27,1.03,,0.59,0.05,0.59,,,0.006,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco28,M0795,0,0.15,0.075,,,0.24,0.34,0.34,0.24,,16.21,0.60,16.21,,,0.039,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco28,M0795,0.15,0.3,0.225,,,0.31,0.43,0.44,0.31,,11.77,0.36,11.77,,,0.036,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco28,M0795,0.3,0.5,0.400,,,0.34,0.42,0.42,0.34,,12.29,0.34,12.29,,,0.042,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco28,M0795,0.5,1,0.750,,,0.42,0.59,0.61,0.42,,6.69,0.18,6.69,,,0.028,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco28,M0795,1,2,1.500,,,0.31,0.42,0.43,0.31,,12.20,0.27,12.20,,,0.038,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco29,M0796,0,0.15,0.075,,,0.25,0.36,0.36,0.25,,15.03,0.57,15.03,,,0.038,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco29,M0796,0.15,0.3,0.225,,,0.29,0.36,0.36,0.29,,14.90,0.46,14.90,,,0.043,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco29,M0796,0.3,0.5,0.400,,,0.28,0.31,0.31,0.28,,17.62,0.46,17.62,,,0.049,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco29,M0796,0.5,1,0.750,,,0.56,0.66,0.68,0.56,,5.19,0.14,5.19,,,0.029,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco29,M0796,1,2,1.500,,,0.41,0.49,0.51,0.41,,9.48,0.20,9.48,,,0.039,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco30,M0797,0,0.15,0.075,,,0.29,0.40,0.40,0.29,,13.13,0.48,13.13,,,0.038,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco30,M0797,0.15,0.3,0.225,,,0.33,0.37,0.38,0.33,,14.16,0.43,14.16,,,0.047,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco30,M0797,0.3,0.5,0.400,,,0.24,0.32,0.32,0.24,,17.14,0.44,17.14,,,0.041,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco30,M0797,0.5,1,0.750,,,0.28,0.42,0.43,0.28,,12.18,0.31,12.18,,,0.034,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco30,M0797,1,2,1.500,,,0.50,0.54,0.56,0.50,,8.04,0.18,8.04,,,0.040,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco31,M0798,0,0.15,0.075,,,0.73,0.95,0.94,0.73,,1.84,0.11,1.84,,,0.013,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco31,M0798,0.15,0.3,0.225,,,0.72,1.10,1.11,1.11,,1.02,0.08,1.02,,,0.011,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco31,M0798,0.3,0.5,0.400,,,0.72,1.30,1.32,1.32,,0.48,0.06,0.48,,,0.006,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco31,M0798,0.5,1,0.750,,,0.80,1.59,1.51,1.51,,0.15,0.02,0.15,,,0.002,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco31,M0798,1,2,1.500,,,0.80,1.64,1.53,1.53,,0.12,0.02,0.12,,,0.002,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco32,M0799,0,0.15,0.075,,,0.27,0.36,0.37,0.27,,14.66,0.53,14.66,,,0.040,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco32,M0799,0.15,0.3,0.225,,,0.31,0.42,0.43,0.31,,12.02,0.36,12.02,,,0.037,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco32,M0799,0.3,0.5,0.400,,,0.32,0.39,0.39,0.32,,13.64,0.38,13.64,,,0.044,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco32,M0799,0.5,1,0.750,,,0.30,0.44,0.45,0.30,,11.42,0.29,11.42,,,0.034,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco32,M0799,1,2,1.500,,,0.33,0.48,0.49,0.33,,9.93,0.23,9.93,,,0.033,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco23,M0800,0,0.15,0.075,,,0.35,0.38,0.39,0.35,,13.78,0.49,13.78,,,0.048,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco23,M0800,0.15,0.3,0.225,,,0.29,0.43,0.44,0.29,,11.81,0.42,11.81,,,0.034,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco23,M0800,0.3,0.5,0.400,,,0.30,0.42,0.42,0.30,,12.28,0.37,12.28,,,0.037,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco23,M0800,0.5,1,0.750,,,0.40,0.48,0.49,0.40,,9.93,0.29,9.93,,,0.040,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco23,M0800,1,2,1.500,,,0.42,0.59,0.61,0.42,,6.65,0.22,6.65,,,0.028,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco24,M0801,0,0.15,0.075,,,0.24,0.34,0.34,0.24,,15.82,0.55,15.82,,,0.038,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco24,M0801,0.15,0.3,0.225,,,0.29,0.37,0.37,0.29,,14.40,0.44,14.40,,,0.042,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco24,M0801,0.3,0.5,0.400,,,0.28,0.37,0.37,0.28,,14.32,0.39,14.32,,,0.040,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco24,M0801,0.5,1,0.750,,,0.33,0.46,0.47,0.33,,10.64,0.25,10.64,,,0.035,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco24,M0801,1,2,1.500,,,0.34,0.49,0.50,0.34,,9.62,0.22,9.62,,,0.033,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco25,M0802,0,0.15,0.075,,,0.33,0.51,0.53,0.33,,8.85,0.33,8.85,,,0.029,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco25,M0802,0.15,0.3,0.225,,,0.34,0.50,0.52,0.34,,9.17,0.33,9.17,,,0.031,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco25,M0802,0.3,0.5,0.400,,,0.48,0.52,0.53,0.48,,8.69,0.29,8.69,,,0.042,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco25,M0802,0.5,1,0.750,,,0.38,0.55,0.57,0.38,,7.58,0.26,7.58,,,0.029,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco25,M0802,1,2,1.500,,,0.45,0.57,0.59,0.45,,7.24,0.26,7.24,,,0.033,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco26,M0803,0,0.15,0.075,,,0.26,0.44,0.45,0.26,,11.16,0.41,11.16,,,0.029,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco26,M0803,0.15,0.3,0.225,,,0.34,0.47,0.49,0.34,,10.03,0.35,10.03,,,0.034,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco26,M0803,0.3,0.5,0.400,,,0.45,0.59,0.61,0.45,,6.67,0.20,6.67,,,0.030,Y,,,,,,,,,,,,,,,,,
MCU Jiquilisco26,M0803,0.5,1,0.750,,,0.59,0.84,0.83,0.59,,2.71,0.08,2.71,,,0.016,Y,,,,,,,,,,,,,,,,,
